t, c	M(t), рад	E(t), рад	Theta(t), рад	
358	0.0347127	0.499579	2.4952
359	0.0348096	0.500464	2.49631
360	0.0349066	0.501346	2.49741
361	0.0350035	0.502225	2.49851
362	0.0351005	0.503102	2.4996
363	0.0351975	0.503977	2.50069
364	0.0352944	0.504849	2.50177
365	0.0353914	0.505719	2.50284
366	0.0354884	0.506586	2.5039
367	0.0355853	0.507451	2.50496
368	0.0356823	0.508314	2.50602
369	0.0357792	0.509174	2.50706
370	0.0358762	0.510032	2.50811
371	0.0359732	0.510887	2.50914
372	0.0360701	0.511741	2.51017
373	0.0361671	0.512591	2.5112
374	0.0362641	0.51344	2.51221
375	0.036361	0.514286	2.51323
376	0.036458	0.51513	2.51423
377	0.036555	0.515971	2.51523
378	0.0366519	0.51681	2.51623
379	0.0367489	0.517647	2.51722
380	0.0368458	0.518481	2.5182
381	0.0369428	0.519313	2.51918
382	0.0370398	0.520143	2.52016
383	0.0371367	0.520971	2.52112
384	0.0372337	0.521796	2.52209
385	0.0373307	0.522619	2.52305
386	0.0374276	0.52344	2.524
387	0.0375246	0.524259	2.52494
388	0.0376215	0.525075	2.52589
389	0.0377185	0.525889	2.52682
390	0.0378155	0.526701	2.52775
391	0.0379124	0.527511	2.52868
392	0.0380094	0.528319	2.5296
393	0.0381064	0.529124	2.53052
394	0.0382033	0.529927	2.53143
395	0.0383003	0.530728	2.53234
396	0.0383972	0.531527	2.53324
397	0.0384942	0.532324	2.53414
398	0.0385912	0.533118	2.53503
399	0.0386881	0.53391	2.53592
400	0.0387851	0.534701	2.5368
401	0.0388821	0.535489	2.53768
402	0.038979	0.536275	2.53855
403	0.039076	0.537058	2.53942
404	0.0391729	0.53784	2.54028
405	0.0392699	0.53862	2.54114
406	0.0393669	0.539397	2.542
407	0.0394638	0.540173	2.54285
408	0.0395608	0.540946	2.5437
409	0.0396578	0.541718	2.54454
410	0.0397547	0.542487	2.54538
411	0.0398517	0.543254	2.54621
412	0.0399486	0.544019	2.54704
413	0.0400456	0.544782	2.54786
414	0.0401426	0.545543	2.54869
415	0.0402395	0.546303	2.5495
416	0.0403365	0.54706	2.55031
417	0.0404335	0.547815	2.55112
418	0.0405304	0.548568	2.55193
419	0.0406274	0.549319	2.55273
420	0.0407243	0.550068	2.55352
421	0.0408213	0.550815	2.55431
422	0.0409183	0.55156	2.5551
423	0.0410152	0.552303	2.55589
424	0.0411122	0.553045	2.55667
425	0.0412092	0.553784	2.55744
426	0.0413061	0.554521	2.55821
427	0.0414031	0.555257	2.55898
428	0.0415001	0.55599	2.55975
429	0.041597	0.556722	2.56051
430	0.041694	0.557452	2.56127
431	0.0417909	0.55818	2.56202
432	0.0418879	0.558906	2.56277
433	0.0419849	0.55963	2.56352
434	0.0420818	0.560352	2.56426
435	0.0421788	0.561072	2.565
436	0.0422758	0.561791	2.56573
437	0.0423727	0.562507	2.56646
438	0.0424697	0.563222	2.56719
439	0.0425666	0.563935	2.56792
440	0.0426636	0.564646	2.56864
441	0.0427606	0.565355	2.56936
442	0.0428575	0.566063	2.57007
443	0.0429545	0.566768	2.57078
444	0.0430515	0.567472	2.57149
445	0.0431484	0.568174	2.57219
446	0.0432454	0.568875	2.57289
447	0.0433423	0.569573	2.57359
448	0.0434393	0.57027	2.57428
449	0.0435363	0.570965	2.57498
450	0.0436332	0.571658	2.57566
451	0.0437302	0.572349	2.57635
452	0.0438272	0.573039	2.57703
453	0.0439241	0.573727	2.57771
454	0.0440211	0.574413	2.57838
455	0.044118	0.575098	2.57905
456	0.044215	0.575781	2.57972
457	0.044312	0.576462	2.58039
458	0.0444089	0.577141	2.58105
459	0.0445059	0.577819	2.58171
460	0.0446029	0.578495	2.58237
461	0.0446998	0.579169	2.58302
462	0.0447968	0.579842	2.58367
463	0.0448937	0.580513	2.58432
464	0.0449907	0.581182	2.58496
465	0.0450877	0.58185	2.58561
466	0.0451846	0.582516	2.58625
467	0.0452816	0.58318	2.58688
468	0.0453786	0.583843	2.58752
469	0.0454755	0.584504	2.58815
470	0.0455725	0.585164	2.58877
471	0.0456694	0.585821	2.5894
472	0.0457664	0.586478	2.59002
473	0.0458634	0.587132	2.59064
474	0.0459603	0.587786	2.59126
475	0.0460573	0.588437	2.59187
476	0.0461543	0.589087	2.59248
477	0.0462512	0.589735	2.59309
478	0.0463482	0.590382	2.5937
479	0.0464452	0.591027	2.5943
480	0.0465421	0.591671	2.5949
481	0.0466391	0.592313	2.5955
482	0.046736	0.592954	2.59609
483	0.046833	0.593593	2.59669
484	0.04693	0.594231	2.59728
485	0.0470269	0.594867	2.59786
486	0.0471239	0.595501	2.59845
487	0.0472209	0.596134	2.59903
488	0.0473178	0.596766	2.59961
489	0.0474148	0.597396	2.60019
490	0.0475117	0.598024	2.60076
491	0.0476087	0.598651	2.60134
492	0.0477057	0.599277	2.60191
493	0.0478026	0.599901	2.60248
494	0.0478996	0.600523	2.60304
495	0.0479966	0.601145	2.6036
496	0.0480935	0.601764	2.60417
497	0.0481905	0.602383	2.60472
498	0.0482874	0.602999	2.60528
499	0.0483844	0.603615	2.60583
500	0.0484814	0.604229	2.60639
501	0.0485783	0.604841	2.60694
502	0.0486753	0.605453	2.60748
503	0.0487723	0.606062	2.60803
504	0.0488692	0.606671	2.60857
505	0.0489662	0.607278	2.60911
506	0.0490631	0.607883	2.60965
507	0.0491601	0.608487	2.61018
508	0.0492571	0.60909	2.61072
509	0.049354	0.609691	2.61125
510	0.049451	0.610291	2.61178
511	0.049548	0.61089	2.61231
512	0.0496449	0.611487	2.61283
513	0.0497419	0.612083	2.61336
514	0.0498388	0.612678	2.61388
515	0.0499358	0.613271	2.6144
516	0.0500328	0.613863	2.61491
517	0.0501297	0.614454	2.61543
518	0.0502267	0.615043	2.61594
519	0.0503237	0.615631	2.61645
520	0.0504206	0.616218	2.61696
521	0.0505176	0.616803	2.61747
522	0.0506145	0.617387	2.61797
523	0.0507115	0.61797	2.61848
524	0.0508085	0.618551	2.61898
525	0.0509054	0.619132	2.61948
526	0.0510024	0.619711	2.61997
527	0.0510994	0.620288	2.62047
528	0.0511963	0.620865	2.62096
529	0.0512933	0.62144	2.62145
530	0.0513903	0.622014	2.62194
531	0.0514872	0.622586	2.62243
532	0.0515842	0.623158	2.62292
533	0.0516811	0.623728	2.6234
534	0.0517781	0.624297	2.62388
535	0.0518751	0.624864	2.62436
536	0.051972	0.625431	2.62484
