t, c	M(t), рад	E(t), рад	Theta(t), рад	
665	0.0644802	0	0
666	0.0645772	0	0
667	0.0646741	0	0
668	0.0647711	0	0
669	0.0648681	0	0
670	0.064965	0	0
671	0.065062	0	0
672	0.065159	0	0
673	0.0652559	0	0
674	0.0653529	0	0
675	0.0654498	0	0
676	0.0655468	0	0
677	0.0656438	0	0
678	0.0657407	0	0
679	0.0658377	0	0
680	0.0659347	0	0
681	0.0660316	0	0
682	0.0661286	0	0
683	0.0662255	0	0
684	0.0663225	0	0
685	0.0664195	0	0
686	0.0665164	0	0
687	0.0666134	0	0
688	0.0667104	0	0
689	0.0668073	0	0
690	0.0669043	0	0
691	0.0670013	0	0
692	0.0670982	0	0
693	0.0671952	0	0
694	0.0672921	0	0
695	0.0673891	0	0
696	0.0674861	0	0
697	0.067583	0	0
698	0.06768	0	0
699	0.067777	0	0
700	0.0678739	0	0
701	0.0679709	0	0
702	0.0680678	0	0
703	0.0681648	0	0
704	0.0682618	0	0
705	0.0683587	0	0
706	0.0684557	0	0
707	0.0685527	0	0
708	0.0686496	0	0
709	0.0687466	0	0
710	0.0688435	0	0
711	0.0689405	0	0
712	0.0690375	0	0
713	0.0691344	0	0
714	0.0692314	0	0
715	0.0693284	0	0
716	0.0694253	0	0
717	0.0695223	0	0
718	0.0696192	0	0
719	0.0697162	0	0
720	0.0698132	0	0
721	0.0699101	0	0
722	0.0700071	0	0
723	0.0701041	0	0
724	0.070201	0	0
725	0.070298	0	0
726	0.0703949	0	0
727	0.0704919	0	0
728	0.0705889	0	0
729	0.0706858	0	0
730	0.0707828	0	0
731	0.0708798	0	0
732	0.0709767	0	0
733	0.0710737	0	0
734	0.0711706	0	0
735	0.0712676	0	0
736	0.0713646	0	0
737	0.0714615	0	0
738	0.0715585	0	0
739	0.0716555	0	0
740	0.0717524	0	0
741	0.0718494	0	0
742	0.0719464	0	0
743	0.0720433	0	0
744	0.0721403	0	0
745	0.0722372	0	0
746	0.0723342	0	0
747	0.0724312	0	0
748	0.0725281	0	0
749	0.0726251	0	0
750	0.0727221	0	0
751	0.072819	0	0
752	0.072916	0	0
753	0.0730129	0	0
754	0.0731099	0	0
755	0.0732069	0	0
756	0.0733038	0	0
757	0.0734008	0	0
758	0.0734978	0	0
759	0.0735947	0	0
760	0.0736917	0	0
761	0.0737886	0	0
762	0.0738856	0	0
763	0.0739826	0	0
764	0.0740795	0	0
765	0.0741765	0	0
766	0.0742735	0	0
767	0.0743704	0	0
768	0.0744674	0	0
769	0.0745643	0	0
770	0.0746613	0	0
771	0.0747583	0	0
772	0.0748552	0	0
773	0.0749522	0	0
774	0.0750492	0	0
775	0.0751461	0	0
776	0.0752431	0	0
777	0.07534	0	0
778	0.075437	0	0
779	0.075534	0	0
780	0.0756309	0	0
781	0.0757279	0	0
782	0.0758249	0	0
783	0.0759218	0	0
784	0.0760188	0	0
785	0.0761157	0	0
786	0.0762127	0	0
787	0.0763097	0	0
788	0.0764066	0	0
789	0.0765036	0	0
790	0.0766006	0	0
791	0.0766975	0	0
792	0.0767945	0	0
793	0.0768914	0	0
794	0.0769884	0	0
795	0.0770854	0	0
796	0.0771823	0	0
797	0.0772793	0	0
798	0.0773763	0	0
799	0.0774732	0	0
800	0.0775702	0	0
801	0.0776672	0	0
802	0.0777641	0	0
803	0.0778611	0	0
804	0.077958	0	0
805	0.078055	0	0
806	0.078152	0	0
807	0.0782489	0	0
808	0.0783459	0	0
809	0.0784429	0	0
810	0.0785398	0	0
811	0.0786368	0	0
812	0.0787337	0	0
813	0.0788307	0	0
814	0.0789277	0	0
815	0.0790246	0	0
816	0.0791216	0	0
817	0.0792186	0	0
818	0.0793155	0	0
819	0.0794125	0	0
820	0.0795094	0	0
821	0.0796064	0	0
822	0.0797034	0	0
823	0.0798003	0	0
824	0.0798973	0	0
825	0.0799943	0	0
826	0.0800912	0	0
827	0.0801882	0	0
828	0.0802851	0	0
829	0.0803821	0	0
830	0.0804791	0	0
831	0.080576	0	0
832	0.080673	0	0
833	0.08077	0	0
834	0.0808669	0	0
835	0.0809639	0	0
836	0.0810608	0	0
837	0.0811578	0	0
838	0.0812548	0	0
839	0.0813517	0	0
840	0.0814487	0	0
841	0.0815457	0	0
842	0.0816426	0	0
843	0.0817396	0	0
844	0.0818365	0	0
845	0.0819335	0	0
846	0.0820305	0	0
847	0.0821274	0	0
848	0.0822244	0	0
849	0.0823214	0	0
850	0.0824183	0	0
851	0.0825153	0	0
852	0.0826123	0	0
853	0.0827092	0	0
854	0.0828062	0	0
855	0.0829031	0	0
856	0.0830001	0	0
857	0.0830971	0	0
858	0.083194	0	0
859	0.083291	0	0
860	0.083388	0	0
861	0.0834849	0	0
862	0.0835819	0	0
863	0.0836788	0	0
864	0.0837758	0	0
865	0.0838728	0	0
866	0.0839697	0	0
867	0.0840667	0	0
868	0.0841637	0	0
869	0.0842606	0	0
870	0.0843576	0	0
871	0.0844545	0	0
872	0.0845515	0	0
873	0.0846485	0	0
874	0.0847454	0	0
875	0.0848424	0	0
876	0.0849394	0	0
877	0.0850363	0	0
878	0.0851333	0	0
879	0.0852302	0	0
880	0.0853272	0	0
881	0.0854242	0	0
882	0.0855211	0	0
883	0.0856181	0	0
884	0.0857151	0	0
885	0.085812	0	0
886	0.085909	0	0
887	0.0860059	0	0
888	0.0861029	0	0
889	0.0861999	0	0
890	0.0862968	0	0
891	0.0863938	0	0
892	0.0864908	0	0
893	0.0865877	0	0
894	0.0866847	0	0
895	0.0867816	0	0
896	0.0868786	0	0
897	0.0869756	0	0
898	0.0870725	0	0
899	0.0871695	0	0
900	0.0872665	0	0
901	0.0873634	0	0
902	0.0874604	0	0
903	0.0875574	0	0
904	0.0876543	0	0
905	0.0877513	0	0
906	0.0878482	0	0
907	0.0879452	0	0
908	0.0880422	0	0
909	0.0881391	0	0
910	0.0882361	0	0
911	0.0883331	0	0
912	0.08843	0	0
913	0.088527	0	0
914	0.0886239	0	0
915	0.0887209	0	0
916	0.0888179	0	0
917	0.0889148	0	0
918	0.0890118	0	0
919	0.0891088	0	0
920	0.0892057	0	0
921	0.0893027	0	0
922	0.0893996	0	0
923	0.0894966	0	0
924	0.0895936	0	0
925	0.0896905	0	0
926	0.0897875	0	0
927	0.0898845	0	0
928	0.0899814	0	0
929	0.0900784	0	0
930	0.0901753	0	0
931	0.0902723	0	0
932	0.0903693	0	0
933	0.0904662	0	0
934	0.0905632	0	0
935	0.0906602	0	0
936	0.0907571	0	0
937	0.0908541	0	0
938	0.090951	0	0
939	0.091048	0	0
940	0.091145	0	0
941	0.0912419	0	0
942	0.0913389	0	0
943	0.0914359	0	0
944	0.0915328	0	0
945	0.0916298	0	0
946	0.0917267	0	0
947	0.0918237	0	0
948	0.0919207	0	0
949	0.0920176	0	0
950	0.0921146	0	0
951	0.0922116	0	0
952	0.0923085	0	0
953	0.0924055	0	0
954	0.0925025	0	0
955	0.0925994	0	0
956	0.0926964	0	0
