t, c	M(t), рад	E(t), рад	Theta(t), рад	
600	0.0581776	-1.12216	3.41187
601	0.0582746	-1.12207	3.4119
602	0.0583716	-1.12197	3.41193
603	0.0584685	-1.12187	3.41196
604	0.0585655	-1.12177	3.41198
605	0.0586625	-1.12168	3.41201
606	0.0587594	-1.12158	3.41204
607	0.0588564	-1.12148	3.41207
608	0.0589533	-1.12139	3.4121
609	0.0590503	-1.12129	3.41213
610	0.0591473	-1.12119	3.41216
611	0.0592442	-1.1211	3.41219
612	0.0593412	-1.121	3.41221
613	0.0594382	-1.1209	3.41224
614	0.0595351	-1.12081	3.41227
615	0.0596321	-1.12071	3.4123
616	0.059729	-1.12061	3.41233
617	0.059826	-1.12051	3.41236
618	0.059923	-1.12042	3.41239
619	0.0600199	-1.12032	3.41242
620	0.0601169	-1.12022	3.41244
621	0.0602139	-1.12013	3.41247
622	0.0603108	-1.12003	3.4125
623	0.0604078	-1.11993	3.41253
624	0.0605047	-1.11984	3.41256
625	0.0606017	-1.11974	3.41259
626	0.0606987	-1.11964	3.41262
627	0.0607956	-1.11954	3.41265
628	0.0608926	-1.11945	3.41268
629	0.0609896	-1.11935	3.4127
630	0.0610865	-1.11925	3.41273
631	0.0611835	-1.11916	3.41276
632	0.0612804	-1.11906	3.41279
633	0.0613774	-1.11896	3.41282
634	0.0614744	-1.11887	3.41285
635	0.0615713	-1.11877	3.41288
636	0.0616683	-1.11867	3.41291
637	0.0617653	-1.11857	3.41294
638	0.0618622	-1.11848	3.41296
639	0.0619592	-1.11838	3.41299
640	0.0620562	-1.11828	3.41302
641	0.0621531	-1.11819	3.41305
642	0.0622501	-1.11809	3.41308
643	0.062347	-1.11799	3.41311
644	0.062444	-1.1179	3.41314
645	0.062541	-1.1178	3.41317
646	0.0626379	-1.1177	3.4132
647	0.0627349	-1.11761	3.41322
648	0.0628319	-1.11751	3.41325
649	0.0629288	-1.11741	3.41328
650	0.0630258	-1.11731	3.41331
651	0.0631227	-1.11722	3.41334
652	0.0632197	-1.11712	3.41337
653	0.0633167	-1.11702	3.4134
654	0.0634136	-1.11693	3.41343
655	0.0635106	-1.11683	3.41346
656	0.0636076	-1.11673	3.41348
657	0.0637045	-1.11664	3.41351
658	0.0638015	-1.11654	3.41354
659	0.0638984	-1.11644	3.41357
660	0.0639954	-1.11634	3.4136
661	0.0640924	-1.11625	3.41363
662	0.0641893	-1.11615	3.41366
663	0.0642863	-1.11605	3.41369
664	0.0643833	-1.11596	3.41372
665	0.0644802	-1.11586	3.41375
666	0.0645772	-1.11576	3.41377
667	0.0646741	-1.11567	3.4138
668	0.0647711	-1.11557	3.41383
669	0.0648681	-1.11547	3.41386
670	0.064965	-1.11538	3.41389
671	0.065062	-1.11528	3.41392
672	0.065159	-1.11518	3.41395
673	0.0652559	-1.11508	3.41398
674	0.0653529	-1.11499	3.41401
675	0.0654498	-1.11489	3.41404
676	0.0655468	-1.11479	3.41407
677	0.0656438	-1.1147	3.41409
678	0.0657407	-1.1146	3.41412
679	0.0658377	-1.1145	3.41415
680	0.0659347	-1.11441	3.41418
681	0.0660316	-1.11431	3.41421
682	0.0661286	-1.11421	3.41424
683	0.0662255	-1.11411	3.41427
684	0.0663225	-1.11402	3.4143
685	0.0664195	-1.11392	3.41433
686	0.0665164	-1.11382	3.41436
687	0.0666134	-1.11373	3.41439
688	0.0667104	-1.11363	3.41441
689	0.0668073	-1.11353	3.41444
690	0.0669043	-1.11344	3.41447
691	0.0670013	-1.11334	3.4145
692	0.0670982	-1.11324	3.41453
693	0.0671952	-1.11315	3.41456
694	0.0672921	-1.11305	3.41459
695	0.0673891	-1.11295	3.41462
696	0.0674861	-1.11285	3.41465
697	0.067583	-1.11276	3.41468
698	0.06768	-1.11266	3.41471
699	0.067777	-1.11256	3.41473
700	0.0678739	-1.11247	3.41476
701	0.0679709	-1.11237	3.41479
702	0.0680678	-1.11227	3.41482
703	0.0681648	-1.11218	3.41485
704	0.0682618	-1.11208	3.41488
705	0.0683587	-1.11198	3.41491
706	0.0684557	-1.11188	3.41494
707	0.0685527	-1.11179	3.41497
708	0.0686496	-1.11169	3.415
709	0.0687466	-1.11159	3.41503
710	0.0688435	-1.1115	3.41506
711	0.0689405	-1.1114	3.41509
712	0.0690375	-1.1113	3.41511
713	0.0691344	-1.11121	3.41514
714	0.0692314	-1.11111	3.41517
715	0.0693284	-1.11101	3.4152
716	0.0694253	-1.11091	3.41523
717	0.0695223	-1.11082	3.41526
718	0.0696192	-1.11072	3.41529
719	0.0697162	-1.11062	3.41532
720	0.0698132	-1.11053	3.41535
721	0.0699101	-1.11043	3.41538
722	0.0700071	-1.11033	3.41541
723	0.0701041	-1.11024	3.41544
724	0.070201	-1.11014	3.41547
725	0.070298	-1.11004	3.41549
726	0.0703949	-1.10995	3.41552
727	0.0704919	-1.10985	3.41555
728	0.0705889	-1.10975	3.41558
729	0.0706858	-1.10965	3.41561
730	0.0707828	-1.10956	3.41564
731	0.0708798	-1.10946	3.41567
732	0.0709767	-1.10936	3.4157
733	0.0710737	-1.10927	3.41573
734	0.0711706	-1.10917	3.41576
735	0.0712676	-1.10907	3.41579
